datetime,hour,amount
2022-05-14,14,3422
2022-05-14,15,3580
2022-05-14,16,3913
2022-05-14,17,4186
2022-05-14,18,3404
2022-05-14,19,3443
2022-05-14,20,2460
2022-05-14,21,1926
2022-05-14,22,1472
2022-05-14,23,984
2022-05-15,0,616
2022-05-15,1,395
2022-05-15,2,306
2022-05-15,3,188
2022-05-15,4,153
2022-05-15,5,245
2022-05-15,6,428
2022-05-15,7,931
2022-05-15,8,1703
2022-05-15,9,2412
2022-05-15,10,2699
2022-05-15,11,3253
2022-05-15,12,3583
2022-05-15,13,3584
2022-05-15,14,3853
2022-05-15,15,3968
2022-05-15,16,3920
2022-05-15,17,3488
2022-05-15,18,3128
2022-05-15,19,2682
2022-05-15,20,2120
2022-05-15,21,1287
2022-05-15,22,751
2022-05-15,23,564
2022-05-16,0,294
2022-05-16,1,204
2022-05-16,2,87
2022-05-16,3,103
2022-05-16,4,83
2022-05-16,5,193
2022-05-16,6,761
2022-05-16,7,3094
2022-05-16,8,5156
2022-05-16,9,3958
2022-05-16,10,3196
2022-05-16,11,3360
2022-05-16,12,4165
2022-05-16,13,3709
2022-05-16,14,3669
2022-05-16,15,3616
2022-05-16,16,3783
2022-05-16,17,4783
2022-05-16,18,5016
2022-05-16,19,4084
2022-05-16,20,2870
2022-05-16,21,1729
2022-05-16,22,1312
2022-05-16,23,789
2022-05-17,0,410
2022-05-17,1,205
2022-05-17,2,174
2022-05-17,3,114
2022-05-17,4,86
2022-05-17,5,219
2022-05-17,6,708
2022-05-17,7,3009
2022-05-17,8,5399
2022-05-17,9,3609
2022-05-17,10,2884
2022-05-17,11,3172
2022-05-17,12,3921
2022-05-17,13,3324
2022-05-17,14,3111
2022-05-17,15,3253
2022-05-17,16,3649
2022-05-17,17,4797
2022-05-17,18,4908
2022-05-17,19,4021
2022-05-17,20,285
2022-05-21,10,546
2022-05-21,11,1878
2022-05-21,12,2370
2022-05-21,13,2535
2022-05-21,14,623
2022-05-24,21,744
2022-05-24,22,88
2022-05-24,23,280
2022-05-25,0,187
2022-05-25,1,174
2022-05-25,2,101
2022-05-25,3,75
2022-05-25,4,51
2022-05-25,5,100
2022-05-25,6,315
2022-05-25,7,1507
2022-05-25,8,2602
2022-05-25,9,1751
2022-05-25,10,1464
2022-05-25,11,500
