datetime,hour,amount
2022-05-07,1,126
2022-05-07,2,52
2022-05-07,3,20
2022-05-07,4,5
2022-05-07,5,55
2022-05-07,6,102
2022-05-07,7,170
2022-05-07,8,886
2022-05-07,9,1601
2022-05-07,10,3209
2022-05-07,11,4973
2022-05-07,12,6047
2022-05-07,13,7025
2022-05-07,14,7173
2022-05-07,15,7405
2022-05-07,16,5572
2022-05-07,17,1993
2022-05-07,18,1727
2022-05-07,19,1596
2022-05-07,20,1476
2022-05-07,21,1108
2022-05-07,22,758
2022-05-07,23,544
2022-05-08,0,186
2022-05-08,1,129
2022-05-08,2,77
2022-05-08,3,63
2022-05-08,4,17
2022-05-08,5,86
2022-05-08,6,144
2022-05-08,7,248
2022-05-08,8,515
2022-05-08,9,751
2022-05-08,10,1004
2022-05-08,11,1266
2022-05-08,12,1586
2022-05-08,13,1795
2022-05-08,14,1813
2022-05-08,15,1782
2022-05-08,16,1830
2022-05-08,17,1734
2022-05-08,18,1686
2022-05-08,19,1394
2022-05-08,20,1159
2022-05-08,21,772
2022-05-08,22,466
2022-05-08,23,307
2022-05-09,0,87
2022-05-09,1,71
2022-05-09,2,33
2022-05-09,3,35
2022-05-09,4,14
2022-05-09,5,39
2022-05-09,6,175
2022-05-09,7,1016
2022-05-09,8,2795
2022-05-09,9,1552
2022-05-09,10,2143
2022-05-09,11,3073
2022-05-09,12,4598
2022-05-09,13,4376
2022-05-09,14,4081
2022-05-09,15,4283
2022-05-09,16,4572
2022-05-09,17,2699
2022-05-09,18,1957
2022-05-09,19,1697
2022-05-09,20,1130
2022-05-09,21,743
2022-05-09,22,517
2022-05-09,23,275
2022-05-10,0,124
2022-05-10,1,54
2022-05-10,2,40
2022-05-10,3,32
2022-05-10,4,37
2022-05-10,5,76
2022-05-10,6,151
2022-05-10,7,997
2022-05-10,8,2943
2022-05-10,9,2426
2022-05-10,10,2639
2022-05-10,11,3334
2022-05-10,12,4662
2022-05-10,13,4612
2022-05-10,14,4445
2022-05-10,15,4477
2022-05-10,16,4833
2022-05-10,17,3772
2022-05-10,18,2111
2022-05-10,19,1602
2022-05-10,20,1323
2022-05-10,21,861
2022-05-10,22,578
2022-05-10,23,400
2022-05-11,0,177
2022-05-11,1,77
2022-05-11,2,55
2022-05-11,3,31
2022-05-11,4,14
2022-05-11,5,43
2022-05-11,6,163
2022-05-11,7,961
2022-05-11,8,2839
2022-05-11,9,1667
2022-05-11,10,2830
