datetime,hour,amount
2022-05-05,4,10
2022-05-05,5,71
2022-05-05,6,117
2022-05-05,7,301
2022-05-05,8,602
2022-05-05,9,891
2022-05-05,10,966
2022-05-05,11,1183
2022-05-05,12,1151
2022-05-05,13,1261
2022-05-05,14,1314
2022-05-05,15,1358
2022-05-05,16,1299
2022-05-05,17,1259
2022-05-05,18,1156
2022-05-05,19,1037
2022-05-05,20,811
2022-05-05,21,454
2022-05-05,22,258
2022-05-05,23,219
2022-05-06,0,92
2022-05-06,1,57
2022-05-06,2,39
2022-05-06,3,37
2022-05-06,4,2
2022-05-06,5,61
2022-05-06,6,184
2022-05-06,7,788
2022-05-06,8,1295
2022-05-06,9,966
2022-05-06,10,1184
2022-05-06,11,1263
2022-05-06,12,1385
2022-05-06,13,1319
2022-05-06,14,1370
2022-05-06,15,1291
2022-05-06,16,1352
2022-05-06,17,1809
2022-05-06,18,1934
2022-05-06,19,1530
2022-05-06,20,988
2022-05-06,21,688
2022-05-06,22,523
2022-05-06,23,276
2022-05-07,0,197
2022-05-07,1,125
2022-05-07,2,72
2022-05-07,3,73
2022-05-07,4,4
2022-05-07,5,63
2022-05-07,6,136
2022-05-07,7,313
2022-05-07,8,752
2022-05-07,9,935
2022-05-07,10,1011
2022-05-07,11,1270
2022-05-07,12,1260
2022-05-07,13,1387
2022-05-07,14,1355
2022-05-07,15,1313
2022-05-07,16,1379
2022-05-07,17,1644
2022-05-07,18,1398
2022-05-07,19,1195
2022-05-07,20,973
2022-05-07,21,649
2022-05-07,22,426
2022-05-07,23,304
2022-05-08,0,116
2022-05-08,1,104
2022-05-08,2,81
2022-05-08,3,31
2022-05-08,4,10
2022-05-08,5,81
2022-05-08,6,105
2022-05-08,7,269
2022-05-08,8,675
2022-05-08,9,803
2022-05-08,10,2401
2022-05-08,11,3141
2022-05-08,12,1196
2022-05-08,13,1295
2022-05-08,14,1227
2022-05-08,15,1135
2022-05-08,16,1262
2022-05-08,17,1166
2022-05-08,18,1115
2022-05-08,19,895
2022-05-08,20,674
2022-05-08,21,451
2022-05-08,22,219
2022-05-08,23,197
2022-05-09,0,74
2022-05-09,1,54
2022-05-09,2,23
2022-05-09,3,23
2022-05-09,4,2
2022-05-09,5,63
2022-05-09,6,232
2022-05-09,7,1107
2022-05-09,8,1853
2022-05-09,9,1281
2022-05-09,10,922
2022-05-09,11,1047
2022-05-09,12,1502
2022-05-09,13,1195
2022-05-09,14,1151
2022-05-09,15,1169
2022-05-09,16,1301
2022-05-09,17,1748
2022-05-09,18,1980
2022-05-09,19,1606
2022-05-09,20,1137
2022-05-09,21,734
2022-05-09,22,508
2022-05-09,23,277
2022-05-10,0,128
2022-05-10,1,56
2022-05-10,2,45
2022-05-10,3,40
2022-05-10,4,4
2022-05-10,5,82
2022-05-10,6,274
2022-05-10,7,919
2022-05-10,8,1928
2022-05-10,9,1199
2022-05-10,10,1098
2022-05-10,11,1025
2022-05-10,12,1468
2022-05-10,13,1192
2022-05-10,14,942
2022-05-10,15,1082
2022-05-10,16,1121
2022-05-10,17,1663
2022-05-10,18,1858
2022-05-10,19,1392
2022-05-10,20,1204
2022-05-10,21,971
2022-05-10,22,568
2022-05-10,23,248
2022-05-11,0,133
2022-05-11,1,60
2022-05-11,2,54
2022-05-11,3,37
2022-05-11,4,4
2022-05-11,5,55
2022-05-11,6,272
2022-05-11,7,1241
2022-05-11,8,1989
2022-05-11,9,1372
2022-05-11,10,1115
2022-05-11,11,1320
2022-05-11,12,1825
2022-05-11,13,1281
2022-05-11,14,1323
2022-05-11,15,1339
2022-05-11,16,1483
2022-05-11,17,2015
2022-05-11,18,2318
2022-05-11,19,1624
2022-05-11,20,1199
2022-05-11,21,797
2022-05-11,22,690
2022-05-11,23,296
2022-05-12,0,144
2022-05-12,1,64
2022-05-12,2,42
2022-05-12,3,28
2022-05-12,4,3
2022-05-12,5,60
2022-05-12,6,234
2022-05-12,7,1180
2022-05-12,8,2183
2022-05-12,9,1481
2022-05-12,10,1230
2022-05-12,11,1339
2022-05-12,12,1621
2022-05-12,13,1254
2022-05-12,14,1407
2022-05-12,15,1482
2022-05-12,16,1574
2022-05-12,17,2021
2022-05-12,18,2104
2022-05-12,19,1859
2022-05-12,20,1304
2022-05-12,21,905
2022-05-12,22,634
2022-05-12,23,418
2022-05-13,0,143
2022-05-13,1,47
2022-05-13,2,47
2022-05-13,3,35
2022-05-13,4,1
2022-05-13,5,72
2022-05-13,6,210
2022-05-13,7,1085
2022-05-13,8,1819
2022-05-13,9,1411
2022-05-13,10,1101
2022-05-13,11,1246
2022-05-13,12,1633
2022-05-13,13,1447
2022-05-13,14,1148
2022-05-13,15,1057
2022-05-13,16,1165
2022-05-13,17,1813
2022-05-13,18,1941
2022-05-13,19,1767
2022-05-13,20,1181
2022-05-13,21,874
2022-05-13,22,677
2022-05-13,23,398
2022-05-14,0,204
2022-05-14,1,117
2022-05-14,2,76
2022-05-14,3,46
2022-05-14,4,3
2022-05-14,5,59
2022-05-14,6,106
2022-05-14,7,403
2022-05-14,8,896
2022-05-14,9,1100
2022-05-14,10,1140
2022-05-14,11,1334
2022-05-14,12,1461
2022-05-14,13,1456
2022-05-14,14,1543
2022-05-14,15,1527
2022-05-14,16,1671
2022-05-14,17,1864
2022-05-14,18,1669
2022-05-14,19,1602
2022-05-14,20,1002
2022-05-14,21,795
2022-05-14,22,607
2022-05-14,23,349
2022-05-15,0,235
2022-05-15,1,105
2022-05-15,2,94
2022-05-15,3,47
2022-05-15,4,4
2022-05-15,5,66
2022-05-15,6,162
2022-05-15,7,364
2022-05-15,8,683
2022-05-15,9,894
2022-05-15,10,1050
2022-05-15,11,1246
2022-05-15,12,1464
2022-05-15,13,1547
2022-05-15,14,1701
2022-05-15,15,1756
2022-05-15,16,1662
2022-05-15,17,1511
2022-05-15,18,1355
2022-05-15,19,1240
2022-05-15,20,949
2022-05-15,21,575
2022-05-15,22,284
2022-05-15,23,239
2022-05-16,0,104
2022-05-16,1,56
2022-05-16,2,14
2022-05-16,3,31
2022-05-16,4,2
2022-05-16,5,67
2022-05-16,6,306
2022-05-16,7,1196
2022-05-16,8,2080
2022-05-16,9,1489
2022-05-16,10,1072
2022-05-16,11,1118
2022-05-16,12,1587
2022-05-16,13,1299
2022-05-16,14,1333
2022-05-16,15,1337
2022-05-16,16,1360
2022-05-16,17,1812
2022-05-16,18,2096
2022-05-16,19,1619
2022-05-16,20,1109
2022-05-16,21,645
2022-05-16,22,576
2022-05-16,23,274
2022-05-17,0,146
2022-05-17,1,62
2022-05-17,2,42
2022-05-17,3,36
2022-05-17,4,3
2022-05-17,5,62
2022-05-17,6,206
2022-05-17,7,1155
2022-05-17,8,2221
2022-05-17,9,1414
2022-05-17,10,1020
2022-05-17,11,1226
2022-05-17,12,1673
2022-05-17,13,1228
2022-05-17,14,1071
2022-05-17,15,1169
2022-05-17,16,1396
2022-05-17,17,2041
2022-05-17,18,2149
2022-05-17,19,1775
2022-05-17,20,1189
2022-05-17,21,801
2022-05-17,22,560
2022-05-17,23,326
2022-05-18,0,160
2022-05-18,1,80
2022-05-18,2,38
2022-05-18,3,60
2022-05-18,4,4
2022-05-18,5,72
2022-05-18,6,233
2022-05-18,7,1088
2022-05-18,8,1963
2022-05-18,9,1263
2022-05-18,10,1013
2022-05-18,11,1225
2022-05-18,12,1526
2022-05-18,13,1351
2022-05-18,14,1285
2022-05-18,15,1256
2022-05-18,16,1431
2022-05-18,17,2168
2022-05-18,18,2212
2022-05-18,19,1724
2022-05-18,20,1071
2022-05-18,21,828
2022-05-18,22,607
2022-05-18,23,332
2022-05-19,0,171
2022-05-19,1,56
2022-05-19,2,35
2022-05-19,3,25
2022-05-19,4,19
2022-05-19,5,50
2022-05-19,6,258
2022-05-19,7,1032
2022-05-19,8,1901
2022-05-19,9,4
2022-05-19,10,1021
2022-05-19,11,1125
2022-05-19,12,9
2022-05-19,13,1305
2022-05-19,14,1221
2022-05-19,15,1133
2022-05-19,16,6
2022-05-19,17,321
2022-05-19,18,2026
2022-05-19,19,11
2022-05-19,20,1232
2022-05-19,21,6
2022-05-19,22,615
2022-05-19,23,324
2022-05-20,0,150
2022-05-20,2,55
2022-05-20,3,41
2022-05-20,4,2
2022-05-20,5,78
2022-05-20,6,238
2022-05-20,7,1245
