datetime,hour,amount
2022-06-14,21,770
2022-06-14,22,423
2022-06-14,23,76
2022-06-15,0,135
2022-06-15,1,273
2022-06-15,2,492
2022-06-15,3,1388
2022-06-15,4,2791
2022-06-15,5,5262
2022-06-15,6,31
2022-06-15,7,2296
2022-06-15,8,1339
2022-06-15,9,4390
2022-06-15,10,4771
2022-06-15,11,3387
2022-06-15,12,4171
2022-06-15,13,2841
2022-06-15,14,6939
2022-06-15,15,4861
2022-06-15,16,2623
2022-06-15,17,4361
2022-06-15,18,2239
2022-06-15,19,1121
2022-06-15,20,849
2022-06-15,21,480
2022-06-15,22,277
2022-06-15,23,169
2022-06-16,0,233
2022-06-16,1,462
2022-06-16,2,2296
2022-06-16,3,6558
2022-06-16,4,4645
2022-06-16,5,2536
2022-06-16,6,958
2022-06-16,7,2415
2022-06-16,8,4850
2022-06-16,9,3253
2022-06-16,10,3738
2022-06-16,11,5513
2022-06-16,12,6388
2022-06-16,13,4764
2022-06-16,14,3758
2022-06-16,15,4882
2022-06-16,16,3741
2022-06-16,17,2375
2022-06-16,18,1282
2022-06-16,19,617
2022-06-16,20,684
2022-06-16,21,424
2022-06-16,22,163
2022-06-16,23,195
2022-06-17,1,1637
2022-06-17,2,3649
2022-06-17,3,4875
2022-06-17,4,4027
2022-06-17,5,3598
2022-06-17,6,4067
2022-06-17,7,4963
2022-06-17,8,4212
2022-06-17,9,3597
2022-06-17,10,5642
2022-06-17,11,6500
2022-06-17,12,6808
2022-06-17,13,5937
2022-06-17,14,5717
2022-06-17,15,4517
2022-06-17,16,2187
2022-06-17,17,2033
2022-06-17,18,1650
2022-06-17,19,984
2022-06-17,20,664
2022-06-17,21,409
2022-06-17,22,363
2022-06-17,23,523
2022-06-18,0,556
2022-06-18,1,2511
2022-06-18,2,2787
2022-06-18,3,2881
2022-06-18,4,4485
2022-06-18,5,5637
2022-06-18,6,5222
2022-06-18,7,5114
2022-06-18,8,6370
2022-06-18,9,5723
2022-06-18,10,4521
2022-06-18,11,7090
2022-06-18,12,5956
2022-06-18,13,5299
2022-06-18,14,1215
2022-06-18,21,2749
2022-06-18,22,3255
2022-06-18,23,2586
2022-06-19,0,1501
2022-06-19,1,1110
2022-06-19,2,830
2022-06-19,3,487
2022-06-19,4,600
2022-06-19,5,747
2022-06-19,6,850
2022-06-19,7,1622
2022-06-19,8,3024
2022-06-19,9,3756
2022-06-19,10,4485
2022-06-19,11,5304
2022-06-19,12,5695
2022-06-19,13,5808
2022-06-19,14,6079
2022-06-19,15,6285
2022-06-19,16,6181
2022-06-19,17,6256
2022-06-19,18,5907
2022-06-19,19,5192
2022-06-19,20,4349
2022-06-19,21,3374
2022-06-19,22,1974
2022-06-19,23,1419
2022-06-20,0,679
2022-06-20,1,451
2022-06-20,2,312
2022-06-20,3,207
2022-06-20,4,187
2022-06-20,5,386
2022-06-20,6,1450
2022-06-20,7,5086
2022-06-20,8,6789
2022-06-20,9,4764
2022-06-20,10,4071
2022-06-20,11,4558
2022-06-20,12,5289
2022-06-20,13,4810
2022-06-20,14,4715
2022-06-20,15,5127
2022-06-20,16,5788
2022-06-20,17,6930
2022-06-20,18,7011
2022-06-20,19,5724
2022-06-20,20,4690
2022-06-20,21,3522
2022-06-20,22,2186
2022-06-20,23,1619
2022-06-21,0,799
2022-06-21,1,521
2022-06-21,2,313
2022-06-21,3,211
2022-06-21,4,233
2022-06-21,5,394
2022-06-21,6,1435
2022-06-21,7,5087
2022-06-21,8,6835
2022-06-21,9,4752
2022-06-21,10,3949
2022-06-21,11,4143
2022-06-21,12,5153
2022-06-21,13,4680
2022-06-21,14,4611
2022-06-21,15,4744
2022-06-21,16,5622
2022-06-21,17,6893
2022-06-21,18,7595
2022-06-21,19,6199
2022-06-21,20,5025
2022-06-21,21,3754
2022-06-21,22,2575
2022-06-21,23,1763
2022-06-22,0,837
2022-06-22,1,573
2022-06-22,2,391
2022-06-22,3,293
2022-06-22,4,247
2022-06-22,5,415
2022-06-22,6,1430
2022-06-22,7,5135
2022-06-22,8,6533
2022-06-22,9,4258
2022-06-22,10,3708
2022-06-22,11,4076
2022-06-22,12,4619
2022-06-22,13,4533
2022-06-22,14,4386
2022-06-22,15,4646
2022-06-22,16,5205
2022-06-22,17,6705
2022-06-22,18,6703
2022-06-22,19,5942
2022-06-22,20,4849
2022-06-22,21,3879
2022-06-22,22,2631
2022-06-22,23,1704
2022-06-23,0,905
2022-06-23,1,525
2022-06-23,2,335
2022-06-23,3,194
2022-06-23,4,237
2022-06-23,5,290
2022-06-23,6,1461
2022-06-23,7,4886
2022-06-23,8,6473
2022-06-23,9,4708
2022-06-23,10,3666
2022-06-23,11,3924
2022-06-23,12,4502
2022-06-23,13,4456
2022-06-23,14,4271
2022-06-23,15,4640
2022-06-23,16,5430
2022-06-23,17,6229
2022-06-23,18,6714
2022-06-23,19,6090
2022-06-23,20,4793
2022-06-23,21,3821
2022-06-23,22,2480
2022-06-23,23,1651
2022-06-24,0,837
2022-06-24,1,581
2022-06-24,2,311
2022-06-24,3,263
2022-06-24,4,259
2022-06-24,5,411
2022-06-24,6,1308
2022-06-24,7,4894
2022-06-24,8,6531
2022-06-24,9,4798
2022-06-24,10,4039
2022-06-24,11,4389
2022-06-24,12,4867
2022-06-24,13,5005
2022-06-24,14,4826
2022-06-24,15,5095
2022-06-24,16,5944
2022-06-24,17,7329
2022-06-24,18,7239
2022-06-24,19,6979
2022-06-24,20,5769
2022-06-24,21,4941
2022-06-24,22,3743
2022-06-24,23,2881
2022-06-25,0,1689
2022-06-25,1,1236
2022-06-25,2,775
2022-06-25,3,643
