datetime,hour,amount
2022-05-13,5,25
2022-05-14,9,3173
2022-05-14,10,3997
2022-05-14,11,5305
2022-05-14,12,5576
2022-05-14,13,4804
2022-05-14,14,5544
2022-05-14,15,5462
2022-05-14,16,6247
2022-05-14,17,6600
2022-05-14,18,6055
2022-05-14,19,2657
2022-05-15,6,239
2022-05-15,7,1416
2022-05-15,8,1694
2022-05-15,9,2271
2022-05-15,10,3652
2022-05-15,11,4586
2022-05-15,12,4619
2022-05-15,13,5909
2022-05-15,14,5789
2022-05-15,15,6805
2022-05-15,16,7188
2022-05-15,17,198
2022-05-22,11,190
2022-05-22,12,672
2022-05-22,13,755
2022-05-22,14,953
2022-05-22,15,722
2022-05-22,16,421
2022-05-22,17,255
2022-05-22,18,407
2022-05-22,19,81
2022-05-22,20,22
2022-05-22,21,20
2022-05-22,22,14
2022-05-25,3,21
2022-05-25,4,33
2022-05-25,5,46
2022-05-25,6,351
2022-05-25,7,722
2022-05-25,8,534
2022-05-25,9,399
2022-05-25,10,465
2022-05-25,11,535
2022-05-28,22,62
2022-05-28,23,109
2022-05-29,0,78
2022-05-29,1,71
2022-05-29,2,72
2022-05-29,3,70
2022-05-29,4,71
2022-05-29,5,72
2022-05-29,6,73
2022-05-29,7,66
2022-05-29,8,80
2022-05-29,9,82
2022-05-29,10,83
2022-05-29,11,82
2022-05-29,12,75
2022-05-29,13,77
2022-05-29,14,80
2022-05-29,15,86
2022-05-29,16,72
2022-05-29,17,52
2022-05-29,18,55
2022-05-29,19,56
2022-05-29,20,73
2022-05-29,21,89
2022-05-29,22,102
2022-05-29,23,97
2022-05-30,0,92
2022-05-30,1,82
2022-05-30,2,80
2022-05-30,3,76
2022-05-30,4,68
2022-05-30,5,76
2022-05-30,6,76
2022-05-30,7,96
2022-05-30,8,80
2022-05-30,9,97
2022-05-30,10,90
2022-05-30,11,92
2022-05-30,12,74
2022-07-12,20,46
