datetime,hour,amount
2022-05-06,21,1733
2022-05-06,22,1228
2022-05-06,23,1100
2022-05-07,0,503
2022-05-07,1,426
2022-05-07,2,286
2022-05-07,3,240
2022-05-07,4,93
2022-05-07,5,181
2022-05-07,6,288
2022-05-07,7,301
2022-05-07,8,858
2022-05-07,9,1557
2022-05-07,10,1826
2022-05-07,11,2456
2022-05-07,12,2836
2022-05-07,13,3146
2022-05-07,14,3052
2022-05-07,15,3180
2022-05-07,16,2997
2022-05-07,17,3458
2022-05-07,18,3270
2022-05-07,19,3065
2022-05-07,20,2662
2022-05-07,21,2152
2022-05-07,22,1535
2022-05-07,23,1237
2022-05-08,0,686
2022-05-08,1,355
2022-05-08,2,303
2022-05-08,3,199
2022-05-08,4,84
2022-05-08,5,297
2022-05-08,6,310
2022-05-08,7,388
2022-05-08,8,785
2022-05-08,9,1658
2022-05-08,10,1961
2022-05-08,11,2711
2022-05-08,12,3146
2022-05-08,13,3577
2022-05-08,14,3709
2022-05-08,15,3623
2022-05-08,16,3545
2022-05-08,17,3377
2022-05-08,18,3133
2022-05-08,19,2677
2022-05-08,20,1890
2022-05-08,21,1320
2022-05-08,22,763
2022-05-08,23,591
2022-05-09,0,244
2022-05-09,1,198
2022-05-09,2,123
2022-05-09,3,131
2022-05-09,4,79
2022-05-09,5,183
2022-05-09,6,341
2022-05-09,7,1116
2022-05-09,8,2499
2022-05-09,9,1576
2022-05-09,10,1448
2022-05-09,11,1808
2022-05-09,12,2839
2022-05-09,13,2132
2022-05-09,14,2066
2022-05-09,15,1941
2022-05-09,16,2127
2022-05-09,17,3006
2022-05-09,18,3083
2022-05-09,19,2611
2022-05-09,20,1866
2022-05-09,21,1337
2022-05-09,22,957
2022-05-09,23,598
2022-05-10,0,272
2022-05-10,1,148
2022-05-10,2,143
2022-05-10,3,114
2022-05-10,4,84
2022-05-10,5,152
2022-05-10,6,320
2022-05-10,7,1097
2022-05-10,8,2432
2022-05-10,9,1848
2022-05-10,10,1736
2022-05-10,11,2235
2022-05-10,12,3104
2022-05-10,13,2443
2022-05-10,14,2428
2022-05-10,15,2306
2022-05-10,16,2367
2022-05-10,17,3252
2022-05-10,18,3607
2022-05-10,19,3037
2022-05-10,20,2154
2022-05-10,21,1565
2022-05-10,22,1093
2022-05-10,23,677
2022-05-11,0,387
2022-05-11,1,183
2022-05-11,2,173
2022-05-11,3,97
2022-05-11,4,61
2022-05-11,5,105
2022-05-11,6,292
2022-05-11,7,1169
2022-05-11,8,2532
2022-05-11,9,1881
2022-05-11,10,1771
2022-05-11,11,2067
2022-05-11,12,3083
2022-05-11,13,2415
2022-05-11,14,2739
2022-05-11,15,2568
2022-05-11,16,2607
2022-05-11,17,3793
2022-05-11,18,3764
2022-05-11,19,2911
2022-05-11,20,2002
2022-05-11,21,1436
2022-05-11,22,1002
2022-05-11,23,710
2022-05-12,0,314
2022-05-12,1,201
2022-05-12,2,160
2022-05-12,3,121
2022-05-12,4,44
2022-05-12,5,130
2022-05-12,6,326
2022-05-12,7,1083
2022-05-12,8,2429
2022-05-12,9,1953
2022-05-12,10,1910
2022-05-12,11,2207
2022-05-12,12,2872
2022-05-12,13,2407
2022-05-12,14,2629
2022-05-12,15,2412
2022-05-12,16,2314
2022-05-12,17,3229
2022-05-12,18,3569
2022-05-12,19,3202
2022-05-12,20,2219
2022-05-12,21,1569
2022-05-12,22,872
2022-05-12,23,710
2022-05-13,0,302
2022-05-13,1,196
2022-05-13,2,173
2022-05-13,3,116
2022-05-13,4,19
2022-05-28,12,487
2022-05-28,13,1361
2022-05-28,14,2842
2022-05-28,15,2861
2022-05-28,16,2919
2022-05-28,17,3335
2022-05-28,18,3264
2022-05-28,19,3375
2022-05-28,20,598
2022-06-03,17,2395
2022-06-03,18,3248
2022-06-03,19,2875
2022-06-03,20,2467
2022-06-03,21,2014
2022-06-03,22,1440
2022-06-03,23,1198
2022-06-04,0,547
2022-06-04,1,370
